row_index,source,housing_market,property_format,price_rub,total_area_m2,rooms,address_exact,residential_complex
3439,avito,unknown,flat,150000000.0,196.0,4.0,"московская обл., одинцовский г.о., рп. заречье, сосновая ул., 1ак3",unknown
3470,avito,unknown,flat,47000000.0,230.0,4.0,"москва, новомосковский административный округ, р-н коммунарка, д. сосенки, ольховая ул., 1",unknown
3488,avito,unknown,flat,59500000.0,141.6,4.0,"московская обл., химки, мкр-н новогорск, заречная ул., 4к2",unknown
3572,avito,unknown,flat,45500000.0,284.0,4.0,"московская обл., котельники, ул. строителей, 5",unknown
3591,avito,unknown,flat,42000000.0,170.6,4.0,"московская обл., одинцовский г.о., д. лапино, коттеджный пос. новое лапино, 54к2",unknown
3600,avito,unknown,flat,49000000.0,255.3,4.0,"московская обл., одинцовский г.о., д. лапино, кп новое лапино, 53",unknown
3620,avito,unknown,flat,44000000.0,130.5,4.0,"московская обл., красногорск, подмосковный б-р, 12",unknown
3655,avito,unknown,flat,53900000.0,210.0,4.0,"московская обл., одинцовский г.о., рп. новоивановское, ул. калинина, 8",unknown
3656,avito,unknown,flat,98000000.0,139.0,4.0,"московская обл., одинцовский г.о., рп. заречье, весенняя ул., 1с2",unknown
3661,avito,unknown,flat,46000000.0,202.0,4.0,"московская обл., одинцовский г.о., д. лапино, кп новое лапино, 10",unknown
4873,cian,resale,flat,43000000.0,106.0,2.0,"московская область, одинцовский городской округ, семенково деревня, азарово южное коттеджный поселок",unknown
4897,cian,resale,flat,43000000.0,106.0,2.0,"московская область, одинцовский городской округ, семенково деревня, азарово южное коттеджный поселок, ул. новогодняя, 2",unknown
4977,cian,new_building,apartments,42920000.0,161.7,2.0,"московская область, наро-фоминск, пл. свободы, 4в",unknown
5147,cian,resale,flat,195000000.0,150.0,3.0,"московская область, одинцовский городской округ, заречье пгт, ул. весенняя, 2к1",unknown
5159,cian,resale,flat,130000000.0,130.0,3.0,"московская область, одинцовский городской округ, заречье пгт, ул. весенняя, 2к6",unknown
5165,cian,resale,flat,45900000.0,93.0,3.0,"московская область, красногорск, мкр. мякинино, ул. согласия, 19",unknown
5174,cian,resale,flat,87000000.0,184.5,3.0,"московская область, истра муниципальный округ, захарово деревня, агаларов эстэйт коттеджный поселок",unknown
5177,cian,resale,flat,134900000.0,140.0,3.0,"московская область, одинцовский городской округ, заречье пгт, ул. весенняя, 2к1",unknown
5183,cian,resale,flat,49900000.0,79.0,3.0,"московская область, красногорск, мкр. мякинино, ул. согласия, 16",unknown
5192,cian,resale,flat,55000000.0,134.5,3.0,"московская область, одинцовский городской округ, заречье пгт, ул. тихая, 25",unknown
5195,cian,resale,flat,59999000.0,170.0,3.0,"московская область, истра муниципальный округ, захарово деревня, ул. заречная, 49",unknown
5198,cian,resale,flat,60000000.0,140.0,3.0,"московская область, одинцовский городской округ, заречье пгт, ул. сосновая, 1ак2",unknown
5204,cian,resale,flat,135000000.0,191.0,3.0,"московская область, одинцовский городской округ, барвиха деревня, рублево-успенское шоссе, 8-й км, 117",unknown
5209,cian,new_building,apartments,60990000.0,203.3,3.0,"московская область, наро-фоминск, пл. свободы, 4в",unknown
5215,cian,new_building,flat,43401664.0,135.01,3.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс",unknown
5292,cian,resale,apartments,49900000.0,204.0,3.0,"московская область, одинцовский городской округ, семенково деревня, азарово северное коттеджный поселок, ул. сиреневая, 6",unknown
5295,cian,resale,flat,88000000.0,168.0,3.0,"московская область, истра муниципальный округ, захарово деревня, агаларов эстэйт коттеджный поселок",unknown
5378,cian,new_building,flat,44054016.0,142.19,3.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс",unknown
5399,cian,new_building,flat,50059301.0,136.58,3.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс",unknown
5413,cian,resale,flat,58990000.0,157.5,4.0,"московская область, химки, мкр. новогорск, ул. заречная, 5к2",unknown
5416,cian,resale,flat,115000000.0,197.3,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. сосновая, 1ак3",unknown
5419,cian,resale,penthouse,87500000.0,260.0,4.0,"московская область, одинцовский городской округ, заречье пгт, 12 месяцев жилой комплекс, 11",unknown
5422,cian,resale,flat,220000000.0,230.0,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. тихая, 27",unknown
5425,cian,resale,flat,145000000.0,141.0,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. весенняя, 2к6",unknown
5437,cian,resale,penthouse,45000000.0,158.8,4.0,"московская область, мытищи, мкр. 10, летная ул., 21/2",unknown
5442,cian,new_building,flat,41067281.0,147.48,4.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс, к2",unknown
5443,cian,resale,flat,55000000.0,141.6,4.0,"московская область, химки, мкр. новогорск, ул. заречная, 4к2",unknown
5448,cian,new_building,flat,43745482.0,165.43,4.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс, к1",unknown
5457,cian,new_building,flat,73975976.0,203.2,4.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс",unknown
5476,cian,resale,flat,77500000.0,192.9,4.0,"московская область, одинцовский городской округ, усово село, усово жилой комплекс, 3",unknown
5478,cian,new_building,flat,55909502.0,113.2,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. торговая, 9",unknown
5488,cian,resale,flat,148000000.0,173.0,4.0,"московская область, одинцовский городской округ, барвиха деревня, рублево-успенское шоссе, 8-й км, 117",unknown
5491,cian,resale,flat,42900000.0,170.8,4.0,"московская область, одинцово, северная ул., 55",unknown
5497,cian,resale,flat,77000000.0,120.0,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. весенняя, 1с6",unknown
5522,cian,new_building,flat,61689379.0,118.4,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. торговая, 5",unknown
5528,cian,new_building,flat,48267422.0,169.66,4.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс, к1",unknown
5532,cian,resale,flat,50990000.0,169.6,4.0,"московская область, химки, мкр. новогорск, ул. ивановская, 53к1",unknown
5537,cian,new_building,flat,44789597.0,161.34,4.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс, к2",unknown
5541,cian,resale,flat,43000000.0,220.0,4.0,"московская область, балашиха, мкр. салтыковка, школьная ул., 7к3",unknown
5550,cian,resale,apartments,59000000.0,240.7,4.0,"московская область, одинцовский городской округ, семенково деревня, азарово южное коттеджный поселок, ул. новогодняя, 2",unknown
5553,cian,resale,flat,210000000.0,315.0,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. тихая, 20",unknown
5562,cian,resale,flat,59000000.0,183.0,4.0,"московская область, химки, мкр. новогорск, ул. ивановская, 51к2",unknown
5568,cian,resale,flat,110000000.0,130.0,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. весенняя, 2к6",unknown
5571,cian,resale,flat,132000000.0,130.0,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. весенняя, 2к6",unknown
5573,cian,new_building,flat,41458410.0,154.84,4.0,"московская область, одинцовский городской округ, ликино деревня, жк мыс, к2",unknown
5592,cian,resale,flat,46000000.0,202.0,4.0,"московская область, одинцовский городской округ, лапино деревня, новое лапино коттеджный поселок, 10",unknown
5593,cian,resale,flat,77166099.0,207.0,4.0,"московская область, одинцовский городской округ, заречье пгт, ул. тихая, 23",unknown
5614,cian,new_building,flat,43321883.0,113.2,4.0,"московская область, одинцовский городской округ, заречье пгт, бул. мещерский",unknown
